Virtual Brand ID,Account Name,Address,Licensed Virtual Brand,City,State,VB Order Protocol,DoorDash Brand Status,UberEats Brand Status,Grubhub Brand Status,DoorDash StoreID,UberEats UUID,Grubhub CID,QA Auditor (from Account Name),Account Managers Name (from Account Name),CSA Name (from Account Name),Account Advisor (from Account Name),Hours of Operation
recmfukfTshkKdHrr,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Manhattan Salad Bar,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued by UE,Active,1804228,65c96089-15fa-4e93-bb37-68300dca732c,2795257,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recqnRrhcCfEI90nb,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",The Bagel Savage,New York,NY,Our Otter,DoorDash - Discontinued,Active,Active,1465631,2eb86432-5509-4fd6-a69f-cc29c10c282f,2489526,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recvRuJ2pjCrqdnnr,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Fiona's Pancake Bar,New York,NY,Our Otter,Active,Discontinued by UE,Active,1008360,a3692f55-575c-4dd4-8785-c3f36ffae7ab,2223864,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recW9HwF3YzYwcqfI,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Wonda's Wrap Cafe,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued TODC audit,Active,1803462,72aad190-309a-4227-b218-b91839208c64,2796225,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
rec0Ps5R61LdsgE6i,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Ali's Gyro Lab,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Active,1581162,d24f3abb-b90c-4740-a6e7-d5925f7a56eb,2730399,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
rec1D6HxKsK3iq8lG,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",General's French Toast,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued by UE,Active,23047847,be7b5795-aa25-5175-877e-771ec255e5db,3311071,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
rec9XZJvRaBqqbkWB,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Mary's Chicken Sandwiches,New York,NY,Our Otter,Discontinued - DoorDash Fraud,Discontinued by UE,Active,25104328,f8d4f6b1-30b4-40c8-84d9-aa391f16f436,2728693,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recg2zCDAy7tnLU3T,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",The Burger Co,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,1465055,5b44eeed-6a43-4a90-9508-9a072a176bb4,2489525,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recDVMCJquxJFU5hC,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Fiona's Breakfast Burritos,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,23047842,989a42de-603c-5b76-ab57-6493efe2ca16,3311173,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recOeZFVBFTPt8gSk,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Taco Paradiso,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Active,1042619,e60d74dd-3e65-4b26-a499-7ad8ebb67787,2285420,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recQl84zj2wKtf5L2,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Hyde's Grilled Cheese,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,23047736,1afd2ce9-e38a-594a-bfd5-f66e9189e052,3310784,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recRHRNUDPFQ5BTe1,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",The Omelette Farm,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,23046138,e6e22e5a-2b84-5592-acae-c50cc11cd911,3310989,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recR6ZR6UQUPHrbY2,1 Up Bistro - 1404 Madison Ave,"1404 Madison Ave, New York, NY 10029",Olivia's Omelettes,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,1581138,f9464f1e-cace-4ba0-a9cc-eb386fc77597,2729777,Mau Liboon,Ria Jain,Ferlyn Torres,Leix Anthony Almeda,"TODC Hours: Monday - Friday: 6:30am - 8pm, Saturday: 6:30am - 7pm, Sunday: 6:30am - 3pm"
recqAHSrXmk7OsQAg,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Sam's Sandwich Spot,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,23906789,ba6b4d1b-4741-524c-836a-f679abb852df,4518800,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recsiHDbtcppLXqAy,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",TacoTaste Mexican,New York,NY,Our Otter,Active,Active,Active,31463157,70a52ee6-4afa-50e5-9ac7-e354f0189bfd,9814992,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recuVL9DGtM3Udbfi,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",The Sandwich Slut,New York,NY,Our Otter,Discontinued - DoorDash Fraud,Discontinued - UE Low Sales,Active,1726258,e5da0d67-cfdf-470a-9be7-35c10142a949,2773050,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recuRsYBjRJom8txu,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Princess Panini,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Grubhub Discontinued - Failed Concept,2145951,3ad89abc-6294-4778-9121-bbb556241200,2900615,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recv41n9fjqX7eYB4,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Tessa's Fruity Treats,New York,NY,Our Otter,Active,Active,Active,24770405,8511b794-752f-5d11-a560-2f49d8d07de3,5850288,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recXtVnJFdrgvgOhv,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",The Sandwich Vibe,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Active,2162544,98788660-14bd-4424-a14b-1649fd71a213,2900428,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
recX9WEFX6iNPhofh,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",LV Taco bar,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,1731780,83268fdf-21a8-480b-ab1d-0f30ccbd3833,2776714,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec02YJjOT1XVtOC0,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",The Omelette Farm,New York,NY,Our Otter,Active,Discontinued by UE,Active,2162874,d7939464-455a-4f87-b6db-858024d7643a,2900807,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec2AvUhSc5VMPAqv,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Hero Sandwich Shop,New York,NY,Our Otter,DoorDash - Discontinued,Discontinued - UE Low Sales,Active,23907076,7c887ac4-7107-51a5-bf0c-f2792c6847ea,4514232,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec4EMDr6Vof6t3w8,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Smoothie And Dessert Bar,New York,NY,Our Otter,Active,Discontinued by UE,Active,1725679,ea72c6be-be9f-4f9f-bc26-82f2977005b6,2775910,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec6epN3vVbrhZHXp,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",The Pancake Snob,New York,NY,Our Otter,Active,Active,Grubhub Discontinued - Failed Concept,1194035,00eeb433-f2e9-49dd-953f-c00327dc385c,2398009,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec8cOLna9Uvkv5G7,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Nomad's Bagels,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Active,23906822,05c09630-e4a8-56ae-996c-7cc1bf442a51,4515648,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
rec9KyM96ApXmR8y3,1st Ave Gourmet Deli - 1741 1st Avenue,"1741 1st Avenue, New York, NY 10128",Aldo's Wraps Spot,New York,NY,Our Otter,Active,Discontinued - UE Low Sales,Active,23906937,e0a02173-c639-5dce-b495-69af8c70579e,4517160,Mau Liboon,Chris Garner,Rachelle Kate Funa,Leix Anthony Almeda,TODC Hours: Monday - Sunday: 6:00 AM to 11:30 PM
