Date,Is self serve campaign,Campaign ID,Campaign name,Type of promotion,Campaign start date,Campaign end date,Store ID,Store name,Currency,Orders,Sales,Customer discounts from marketing | (Funded by you),Customer discounts from marketing | (Funded by DoorDash),Customer discounts from marketing | (Funded by a third-party),Marketing fees | (including any applicable taxes),DoorDash marketing credit,Third-party contribution,Average order value,ROAS,New customers acquired,Existing customers acquired,Total customers acquired,New DP customers acquired,Existing DP customers acquired,Total DP customers acquired
2026-02-01,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,1,73.96,6.0,0.0,0.0,0.0,0.0,0.0,73.96,12.33,0,1,1,0,0,0
2026-02-03,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,1,37.98,5.7,0.0,0.0,0.0,0.0,0.0,37.98,6.66,1,0,1,1,0,1
2026-02-04,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,2,78.96,11.85,0.0,0.0,0.0,0.0,0.0,39.48,6.66,0,1,2,0,1,2
2026-02-07,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,1,37.98,5.7,0.0,0.0,0.0,0.0,0.0,37.98,6.66,1,0,1,1,0,1
2026-02-08,false,7f4f62d1-f4c9-4cab-8cfe-67c04d206d32,Order Again & Save,Discount for lapsed customers,2022-11-23,None,63275,Cheers on Demand (Fillmore St),USD,1,18.99,3.8,0.0,0.0,0.99,0.0,0.0,18.99,3.96,0,0,1,0,0,1
2026-02-08,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,4,190.92,22.95,0.0,0.0,0.0,0.0,0.0,47.73,8.32,3,1,4,3,1,4
2026-02-11,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,1,39.98,6.0,0.0,0.0,0.0,0.0,0.0,39.98,6.66,0,1,1,0,0,0
2026-02-12,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,2,72.96,10.5,0.0,0.0,0.0,0.0,0.0,36.48,6.95,1,0,2,1,0,2
2026-02-13,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,1,34.99,5.25,0.0,0.0,0.0,0.0,0.0,34.99,6.66,0,1,1,0,1,1
2026-02-14,false,7f4f62d1-f4c9-4cab-8cfe-67c04d206d32,Order Again & Save,Discount for lapsed customers,2022-11-23,None,63275,Cheers on Demand (Fillmore St),USD,1,22.99,4.6,0.0,0.0,0.99,0.0,0.0,22.99,4.11,0,0,1,0,0,1
2026-02-14,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,3,189.94,17.7,0.0,0.0,0.0,0.0,0.0,63.31,10.73,2,1,3,1,1,2
2026-02-15,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,7,319.86,38.85,0.0,0.0,0.0,0.0,0.0,45.69,8.23,5,1,7,2,1,4
2026-02-16,true,38b797c7-eae6-48ac-9eaa-20d94a058968,Spend $27 get 15% off 12/30/2025,Order discount,2025-12-30,None,63275,Cheers on Demand (Fillmore St),USD,4,157.89,21.44,0.0,0.0,0.0,0.0,0.0,39.47,7.36,2,2,4,1,1,2
