Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
2026-02-01,2026-02-28,101 Hummus,32921997,909363,NULL,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,99.0,1.0,209,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,101 Hummus (1174 Chapel St),35361759,14630146,35361759,15,13,3,23.08,23.78,2,13.33,2,13.33,0.00,1.60,5.28,42.50,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,42.44
2026-02-01,2026-02-28,101 Hummus (3846 Mowry Ave),32921995,909363,32921995,22,22,1,4.55,1.09,0,0.00,0,0.00,0.00,0.42,4.26,35.45,100.0,0.0,0,NULL,5,NULL,NULL,0,2,40.00,USD,36.86
2026-02-01,2026-02-28,Addictive Burger Bar,37565941,740074,37565941,5,3,0,0.00,0.00,2,40.00,2,40.00,0.00,2.05,8.77,43.33,95.65,4.35,1117,NULL,0,NULL,NULL,0,0,0.00,USD,43.42
2026-02-01,2026-02-28,Addictive Burger Bar,1580519,740074,NULL,1,1,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,2.77,32.00,99.07,0.93,345,NULL,0,NULL,NULL,0,0,0.00,USD,31.95
2026-02-01,2026-02-28,Addictive Burger Bar (1428 Polk St),31577141,740074,31577141,5,4,0,0.00,0.00,1,20.00,0,0.00,0.00,1.20,2.29,36.75,99.08,0.92,240,NULL,0,NULL,NULL,0,0,0.00,USD,36.85
2026-02-01,2026-02-28,Addictive Burger Bar (689 Broadway),24854827,740074,24854827,8,8,0,0.00,0.00,0,0.00,0,0.00,0.00,3.21,5.39,45.88,97.92,2.08,839,NULL,0,NULL,NULL,0,0,0.00,USD,45.71
2026-02-01,2026-02-28,Addictive Fried Chicken,1183154,486741,NULL,2,2,0,0.00,0.00,0,0.00,0,0.00,0.00,7.33,9.99,56.50,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,56.62
2026-02-01,2026-02-28,Addictive Fried Chicken,34250943,486741,34250943,0,0,0,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,98.8,1.2,250,NULL,0,NULL,NULL,0,0,0.00,NULL,0.00
2026-02-01,2026-02-28,Addictive Fried Chicken (3rd St),23065118,486741,23065118,5,5,0,0.00,0.00,0,0.00,0,0.00,0.00,5.93,8.78,47.60,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,48.14
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot,1827403,824197,NULL,5,5,0,0.00,0.00,0,0.00,0,0.00,0.00,0.13,3.95,40.00,97.91,2.09,841,NULL,0,NULL,NULL,0,0,0.00,USD,39.72
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot  (840 Fulton St),25130119,824197,25130119,3,3,0,0.00,0.00,0,0.00,0,0.00,0.00,5.01,7.36,31.67,98.5,1.5,427,NULL,0,NULL,NULL,0,0,0.00,USD,31.87
2026-02-01,2026-02-28,Alberto's Hero Sandwich Spot (1201 Randall Avenue),23692696,824197,23692696,4,4,0,0.00,0.00,0,0.00,0,0.00,0.00,0.61,2.79,47.25,97.38,2.62,405,NULL,0,NULL,NULL,0,0,0.00,USD,47.14
