Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Cancellation Category - Short,Cancellation Category - Description,Count of Orders
2026-02-01,2026-02-28,63275,Cheers on Demand (Fillmore St),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,129914,The Ice Cream Lab (Fillmore St),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,129914,The Ice Cream Lab (Fillmore St),NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,394811,Food & Liquor World,NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,457017,Times Square Pizza Boy,NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,635466,The Ice Cream Snob,NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,635466,The Ice Cream Snob,NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,799976,Riya's Indian Restaurant (Roosevelt Ave),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,799976,Riya's Indian Restaurant (Roosevelt Ave),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,799976,Riya's Indian Restaurant (Roosevelt Ave),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,833127,Stella's Pancake Bar (937 1st Ave),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,839909,Jay's Breakfast Bar (Washington Blvd),NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,839909,Jay's Breakfast Bar (Washington Blvd),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,842313,Village Breakfast Snob (4th Ave),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,842313,Village Breakfast Snob (4th Ave),NULL,NULL,NULL,1
2026-02-01,2026-02-28,842327,The American Cheesesteaks (4th Ave),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,844991,Jamaica Breakfast Bar (Jamaica Ave),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,872655,Indian Chop House (16th Street),NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,873421,The Milk Snob (Post Street),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,873421,The Milk Snob (Post Street),NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,873421,The Milk Snob (Post Street),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,873424,Halal Chicken Gyros Co. (Mowry Ave),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,943687,Curry Curry Curry (S Abbott Ave),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,966668,BBQ Ribs Co.,NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,969305,The Burger Trilogy  (San Francisco),NULL,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,969305,The Burger Trilogy  (San Francisco),NULL,Customer Cancellations,Customer needed to modify order cart contents,1
2026-02-01,2026-02-28,1008261,Joe's Chicken and Waffles,NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,1008526,Mia's Breakfast Bar,NULL,Other,Other,1
2026-02-01,2026-02-28,1194035,The Pancake Snob (1st Ave),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,1
2026-02-01,2026-02-28,1194035,The Pancake Snob (1st Ave),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1194035,The Pancake Snob (1st Ave),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1245290,"Prime Burger Lounge (West Chester, PA)",NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,1245296,"The Wings Express (West Chester, PA)",NULL,Customer Cancellations,Customer entered the wrong address,1
2026-02-01,2026-02-28,1332271,Charlie's Chicken Wings (New York),NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,1339730,"Olivia's Breakfast Cafe (New York, NY)",NULL,Avoidable Store Operations,Store closed,3
2026-02-01,2026-02-28,1451913,Halal Chicken Spot (244 W. 14th street),NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,1455616,Philly Cheesesteak Snob (Bronxdale Ave),NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,1458742,Danny's Desserts (1147 West Chester Pike),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,1459266,Halal Gyro Lab (Jamaica Ave),NULL,Avoidable Store Operations,Extreme dasher wait time,1
2026-02-01,2026-02-28,1459266,Halal Gyro Lab (Jamaica Ave),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1459266,Halal Gyro Lab (Jamaica Ave),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,3
2026-02-01,2026-02-28,1459266,Halal Gyro Lab (Jamaica Ave),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,Avoidable Store Operations,Item out of stock,2
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,1465730,The Pasta Story (1424 Lexington Ave),NULL,NULL,NULL,2
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,1477969,The Gyro Bar (1969 Bronxdale Ave),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1478850,The Salad Snob (Virtual Brand)(3846 Mowry Ave Fremont),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1497405,Halal Gyro Lab (Virtual Brand)(1760 3rd Ave),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,1518350,The Burger Blade,NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1518350,The Burger Blade,NULL,Other,Other,1
2026-02-01,2026-02-28,1556211,The Breakfast Dream (1117 Broadway),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,1556279,The Gyro Shop(Virtual Brand),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1556279,The Gyro Shop(Virtual Brand),NULL,Customer Cancellations,Customer needed to modify order cart contents,1
2026-02-01,2026-02-28,1556279,The Gyro Shop(Virtual Brand),NULL,NULL,NULL,1
2026-02-01,2026-02-28,1567795,The Pancake Spot,NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,1580568,Amore Italian Desserts,NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,1580568,Amore Italian Desserts,NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,1581202,Ice Cream and Cake Shop(Virtual Brand),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1591183,Cheesecake And Dessert Bar,NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,1595687,The Burrito Snob,128,Avoidable Store Operations,Store closed,3
2026-02-01,2026-02-28,1608749,Bosscat Breakfast,NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,1725679,Smoothie And Dessert Bar,NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1725679,Smoothie And Dessert Bar,NULL,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,1725776,Empire State Panini,NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1743858,Mario's Italian Ristorante,NULL,POS Error Cancellations,Timeout,1
2026-02-01,2026-02-28,1785496,The Minister Wraps,NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,1803495,The Sandwich Slut,NULL,Avoidable Store Operations,Store operations issue,3
2026-02-01,2026-02-28,1877090,Salvatore's Parmigiana Sandwiches (43 W Flagler St),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,1909205,The Sandwich Cafe (2841 E Anaheim St),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2110247,Dangerous Ice Cream (867 FIllmore Street),NULL,Customer Cancellations,Customer needed to modify order cart contents,1
2026-02-01,2026-02-28,2110247,Dangerous Ice Cream (867 FIllmore Street),NULL,NULL,NULL,1
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Customer Cancellations,Long order fulfillment time,3
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Customer Cancellations,Customer requested - Unspecified reason,4
2026-02-01,2026-02-28,2140050,Flowers Bouquet Shop (171 Bleecker St),NULL,Other,Other,1
2026-02-01,2026-02-28,2145966,Rooftop Sandwiches (169-03 Jamaica Ave),169-03,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,2145966,Rooftop Sandwiches (169-03 Jamaica Ave),169-03,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,2255754,Breakfast Burrito Floozy (S 101st E Ave),NULL,Avoidable Store Operations,Store closed,3
2026-02-01,2026-02-28,2255754,Breakfast Burrito Floozy (S 101st E Ave),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2255754,Breakfast Burrito Floozy (S 101st E Ave),NULL,Other,Other,1
2026-02-01,2026-02-28,2272718,The Dessert Dream (Hoover Rd),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2272718,The Dessert Dream (Hoover Rd),NULL,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,2290794,Bagel Dynasty (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,3
2026-02-01,2026-02-28,2290794,Bagel Dynasty (330 W Broadway),NULL,Avoidable Store Operations,Store closed,2
2026-02-01,2026-02-28,2290794,Bagel Dynasty (330 W Broadway),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,2
2026-02-01,2026-02-28,2291104,Mary's Omelette Bar (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2291104,Mary's Omelette Bar (330 W Broadway),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,1
2026-02-01,2026-02-28,2291104,Mary's Omelette Bar (330 W Broadway),NULL,Other,Other,1
2026-02-01,2026-02-28,2291140,The Burger Stack (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2291140,The Burger Stack (330 W Broadway),NULL,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,2291200,The Smoothie Squeeze (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2291207,Top Notch Sandwiches (330 W Broadway),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,2
2026-02-01,2026-02-28,2291207,Top Notch Sandwiches (330 W Broadway),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,3
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,1
2026-02-01,2026-02-28,2291215,Hyde's Grilled Cheese (330 W Broadway),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,2291226,Luca's Chicken Wings (330 W Broadway),NULL,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,2291401,Big E's Wraps (330 W Broadway),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2291401,Big E's Wraps (330 W Broadway),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,2459220,Toss N' Chop Salad Bar (Smith Rd),NULL,Avoidable Store Operations,Store closed,2
2026-02-01,2026-02-28,2459220,Toss N' Chop Salad Bar (Smith Rd),NULL,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,2589150,Avocado N Toast Snob (Broadway),NULL,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,2849774,Penny's Pancakes (Hillside Ave),2849774,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,22988449,Fiona's Breakfast Burritos (Michelson Dr),22988449,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,23007066,The Smoothie Squeeze (450 9th Ave),23007066,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23007130,NY Dessert Bar (9th Ave),23007130,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23026068,Arifs Mediterranean Grill (Bedford Ave),23026068,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,23045921,Pita Sandwich Bite (George St),23045921,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,23056011,The Gyro Brothers (E 125th St),23056011,Avoidable Store Operations,Store closed,2
2026-02-01,2026-02-28,23056011,The Gyro Brothers (E 125th St),23056011,Avoidable Store Operations,Item out of stock,2
2026-02-01,2026-02-28,23059274,Halal Chicken Spot (Jamaica Ave),23059274,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23060296,Bain's Burger Bar (Jamaica Ave),23060296,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,23060370,Grilled Cheese Ecstatic (9th Ave),23060370,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23085594,Nakamura Ramen House (W Greenway Rd),23085594,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23085594,Nakamura Ramen House (W Greenway Rd),23085594,Customer Cancellations,Customer requested - Unspecified reason,2
2026-02-01,2026-02-28,23085625,Chef Hanoka Sushi (W Peoria Ave),23085625,Avoidable Store Operations,Store closed,1
2026-02-01,2026-02-28,23085637,Kung Fu Chinese Kitchen (W Greenway Rd),23085637,NULL,NULL,1
2026-02-01,2026-02-28,23085638,Nakamura Ramen House (W Peoria Ave),23085638,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,23085638,Nakamura Ramen House (W Peoria Ave),23085638,Avoidable Store Operations,Store closed,2
2026-02-01,2026-02-28,23085638,Nakamura Ramen House (W Peoria Ave),23085638,Customer Cancellations,Customer entered the wrong address,1
2026-02-01,2026-02-28,23085722,Nakamura Ramen House (W Indian School Rd),23085722,Avoidable Store Operations,Wrong order handed to dasher,1
2026-02-01,2026-02-28,23085722,Nakamura Ramen House (W Indian School Rd),23085722,Avoidable Store Operations,Item out of stock,1
2026-02-01,2026-02-28,23087616,The Chinese Noodle Palace (S Higley Rd),23087616,Avoidable Store Operations,Store closed,2
2026-02-01,2026-02-28,23087616,The Chinese Noodle Palace (S Higley Rd),23087616,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23087659,Noodle And Rice Bar (W Camelback Rd),23087659,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,23087862,Chinese Fried Rice Spot (S Higley Rd),23087862,Avoidable Store Operations,Store operations issue,1
2026-02-01,2026-02-28,23087862,Chinese Fried Rice Spot (S Higley Rd),23087862,Customer Cancellations,Customer requested - Unspecified reason,1
2026-02-01,2026-02-28,23106174,The Minister Wraps (Broadway),23106174,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23106184,High Life Breakfast Sandwiches (Chapel St),23106184,Avoidable Store Operations,Store operations issue,2
2026-02-01,2026-02-28,23106184,High Life Breakfast Sandwiches (Chapel St),23106184,Customer Cancellations,Customer entered the wrong address,1
2026-02-01,2026-02-28,23106184,High Life Breakfast Sandwiches (Chapel St),23106184,Customer Cancellations,Long order fulfillment time,1
2026-02-01,2026-02-28,23134903,Muf's Muffin Shop (Hillside Ave),23134903,Avoidable Store Operations,Staff requested - Busy or cannot fulfill,1
2026-02-01,2026-02-28,23268648,Bri's Breakfast Bar (Lee Hwy),23268648,Avoidable Store Operations,Store operations issue,1
