Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Downtime Category - Short,Downtime Category - Description,Minutes Downtime
2026-02-01,2026-02-28,129914,The Ice Cream Lab (Fillmore St),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,394811,Food & Liquor World,NULL,Store Closure,Store Closure - Dasher Reported,19
2026-02-01,2026-02-28,457017,Times Square Pizza Boy,NULL,Store Closure,Store Closure - Merchant Reported,34
2026-02-01,2026-02-28,457017,Times Square Pizza Boy,NULL,UNCATEGORIZED,N/A,32
2026-02-01,2026-02-28,457017,Times Square Pizza Boy,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,17
2026-02-01,2026-02-28,476794,The Breakfast Bar (E Houston Street),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,844
2026-02-01,2026-02-28,476794,The Breakfast Bar (E Houston Street),NULL,UNCATEGORIZED,N/A,844
2026-02-01,2026-02-28,610571,Vegan Indian Company (New York),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,366
2026-02-01,2026-02-28,690586,Halal Indian Monsoon (B St),NULL,UNCATEGORIZED,N/A,224
2026-02-01,2026-02-28,768836,Jose's Burrito Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,768849,Chelsea's Breakfast Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,842
2026-02-01,2026-02-28,779913,Famous Gyro Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,849
2026-02-01,2026-02-28,799976,Riya's Indian Restaurant (Roosevelt Ave),NULL,Store Closure,Store Closure - Dasher Reported,396
2026-02-01,2026-02-28,814583,Halal Indian Bazaar,NULL,UNCATEGORIZED,N/A,262
2026-02-01,2026-02-28,833127,Stella's Pancake Bar (937 1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,833133,The Mexican Cocina (1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,849
2026-02-01,2026-02-28,834794,Maria's Italian Meatballs (1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,842313,Village Breakfast Snob (4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,842313,Village Breakfast Snob (4th Ave),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,842327,The American Cheesesteaks (4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,842380,Firenze Pasta Ristorante (4th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,844991,Jamaica Breakfast Bar (Jamaica Ave),NULL,Store Closure,Store Closure - Dasher Reported,894
2026-02-01,2026-02-28,844991,Jamaica Breakfast Bar (Jamaica Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,849
2026-02-01,2026-02-28,849210,Kelly's Pancake Bar (Queens Plaza),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,849212,Heavens Chicken Wings (New York),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,849
2026-02-01,2026-02-28,850181,Snobby Chicken Wings (937 1st Avenue),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,850451,Big Daddy's Wings (Polk St),NULL,UNCATEGORIZED,N/A,510
2026-02-01,2026-02-28,872655,Indian Chop House (16th Street),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,875183,The Omelette Farm (New York),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,852
2026-02-01,2026-02-28,919185,The Pancake Spot (8th Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,976289,Cheers On Demand (111 Lex),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,158
2026-02-01,2026-02-28,978430,Mary's Bagel Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1008261,Joe's Chicken and Waffles,NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,60
2026-02-01,2026-02-28,1008360,Fiona's Pancake Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,315
2026-02-01,2026-02-28,1008526,Mia's Breakfast Bar,NULL,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,1042619,"Taco Paradiso (New York, NY)",NULL,Store Closure,Store Closure - Bad Weather or Power Outage,315
2026-02-01,2026-02-28,1045862,Celebrity Vegan Burger,NULL,UNCATEGORIZED,N/A,518
2026-02-01,2026-02-28,1050862,Breakfast Burrito Snob (1st Ave),NULL,Store Closure,Store Closure - Bad Weather or Power Outage,846
2026-02-01,2026-02-28,1166202,The Pancake Snob (Virtual Brand)(West Chester Pike),NULL,Store Too Busy,Auto Pause - High Avoidable Dasher Wait Time,30
2026-02-01,2026-02-28,1180434,"The Pancake Snob (Virtual Brand)(New York, NY)",NULL,UNCATEGORIZED,N/A,1527
2026-02-01,2026-02-28,1180434,"The Pancake Snob (Virtual Brand)(New York, NY)",NULL,Store Closure,Store Closure - Bad Weather or Power Outage,851
2026-02-01,2026-02-28,1184943,"The Pancake Snob (Brooklyn, NY)",NULL,Store Closure,Store Closure - Bad Weather or Power Outage,753
2026-02-01,2026-02-28,1185887,"The Pasta Twins (New York, NY)",NULL,Store Closure,Store Closure - Bad Weather or Power Outage,345
2026-02-01,2026-02-28,1194035,The Pancake Snob (1st Ave),NULL,Store Closure,Store Closure - Dasher Reported,1027
