Start Date,End Date,Store ID,Store Name,Merchant Supplied ID,Error Category,Count of Item Errors,% of Total Item Errors
2026-02-01,2026-02-28,35361759,101 Hummus (1174 Chapel St),35361759,Ingredient Error,1,33.33
2026-02-01,2026-02-28,35361759,101 Hummus (1174 Chapel St),35361759,Incorrect Size,1,33.33
2026-02-01,2026-02-28,35361759,101 Hummus (1174 Chapel St),35361759,Missing Item,1,33.33
2026-02-01,2026-02-28,32921995,101 Hummus (3846 Mowry Ave),32921995,Missing Side Item,1,100.0
2026-02-01,2026-02-28,25294190,Ali's Mediterranean Sandwiches (114 East Main Street),25294190,Incorrect Size,1,50.0
2026-02-01,2026-02-28,25294190,Ali's Mediterranean Sandwiches (114 East Main Street),25294190,Missing Item,1,50.0
2026-02-01,2026-02-28,25295448,Amanda's Breakfast Lounge (111 E 161 St),25295448,Ingredient Error,1,16.67
2026-02-01,2026-02-28,25295448,Amanda's Breakfast Lounge (111 E 161 St),25295448,Missing Item,5,83.33
2026-02-01,2026-02-28,28605460,Amanda's Breakfast Lounge (277 Gold Street),28605460,Missing Side Item,1,33.33
2026-02-01,2026-02-28,28605460,Amanda's Breakfast Lounge (277 Gold Street),28605460,Missing Item,2,66.67
2026-02-01,2026-02-28,33415771,Amanda's Breakfast Lounge (3661 Broadway),33415771,Ingredient Error,1,33.33
2026-02-01,2026-02-28,33415771,Amanda's Breakfast Lounge (3661 Broadway),33415771,Missing Item,2,66.67
2026-02-01,2026-02-28,33886617,Amanda's Breakfast Lounge (433 W 34th st),33886617,Missing Item,1,50.0
2026-02-01,2026-02-28,33886617,Amanda's Breakfast Lounge (433 W 34th st),33886617,Missing Side Item,1,50.0
2026-02-01,2026-02-28,36728189,Amore Pasta Ristorante,36728189,Missing Item,1,100.0
2026-02-01,2026-02-28,32863770,Amore Pasta Ristorante (2909A Queens Plaza North),32863770,Missing Item,2,100.0
2026-02-01,2026-02-28,24703993,Anne's Artisan Coffee  (682 Morris Park Avenue),24703993,Missing Item,1,50.0
2026-02-01,2026-02-28,24703993,Anne's Artisan Coffee  (682 Morris Park Avenue),24703993,Ingredient Error,1,50.0
2026-02-01,2026-02-28,31313981,Antonio's Quesadilla Shack (4352 E Speedway Blvd),31313981,Missing Item,1,100.0
2026-02-01,2026-02-28,34251093,Arifs Mediterranean Grill,34251093,Ingredient Error,1,100.0
2026-02-01,2026-02-28,23026068,Arifs Mediterranean Grill (Bedford Ave),23026068,Missing Item,1,100.0
2026-02-01,2026-02-28,966668,BBQ Ribs Co.,NULL,Missing Side Item,1,100.0
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Missing Item,5,71.43
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Incorrect Size,1,14.29
2026-02-01,2026-02-28,1477944,BBQ Ribs Co. (Virtual Brand)(228 George Street),NULL,Missing Side Item,1,14.29
2026-02-01,2026-02-28,24227486,Bagel Dynasty (7701 Garrison Road),24227486,Missing Side Item,1,100.0
2026-02-01,2026-02-28,33972041,Bart's Breakfast Sandwiches,33972041,Missing Item,1,100.0
2026-02-01,2026-02-28,32922801,Bart's Burger Bar (3661 Broadway),32922801,Missing Side Item,1,25.0
2026-02-01,2026-02-28,32922801,Bart's Burger Bar (3661 Broadway),32922801,Ingredient Error,1,25.0
2026-02-01,2026-02-28,32922801,Bart's Burger Bar (3661 Broadway),32922801,Missing Item,2,50.0
2026-02-01,2026-02-28,33885459,Big Ease Smoothies (2051 Frederick Douglass Blvd),33885459,Missing Item,1,100.0
2026-02-01,2026-02-28,36237363,Big Ease Smoothies (93 Avenue A),36237363,Missing Item,1,100.0
2026-02-01,2026-02-28,33947623,Bird's Burger Bar,33947623,Missing Item,2,66.67
2026-02-01,2026-02-28,33947623,Bird's Burger Bar,33947623,Ingredient Error,1,33.33
2026-02-01,2026-02-28,35651435,Bird's Burger Bar,35651435,Missing Item,2,100.0
2026-02-01,2026-02-28,34346369,Blake's Dessert Lounge,34346369,Missing Item,1,100.0
2026-02-01,2026-02-28,27667568,Bosscat Wraps (309 7th Ave),27667568,Missing Item,1,100.0
2026-02-01,2026-02-28,28607943,Breakfast Burrito Joint (128 East 4th Street),28607943,Missing Side Item,1,100.0
2026-02-01,2026-02-28,24387257,Breakfast Burrito Joint (3907 Lee Hwy),24387257,Missing Item,3,100.0
2026-02-01,2026-02-28,35370009,Breakfast Burrito Snob,35370009,Missing Item,1,100.0
2026-02-01,2026-02-28,1367068,Breakfast Burrito Snob (Long Island City),NULL,Ingredient Error,1,100.0
2026-02-01,2026-02-28,1340523,"Breakfast Burrito Snob(San Francisco, CA)",NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,32923293,Breakfast N Vibe (4234 Broadway),32923293,Missing Item,1,25.0
2026-02-01,2026-02-28,32923293,Breakfast N Vibe (4234 Broadway),32923293,Ingredient Error,3,75.0
2026-02-01,2026-02-28,32923301,Breakfast Sandwich Express (5993 Broadway),32923301,Missing Item,3,100.0
2026-02-01,2026-02-28,24770396,Cameron's Breakfast Cafe (38-01 Vernon Boulevard),24770396,Missing Item,1,100.0
2026-02-01,2026-02-28,32923453,Carmen's Breakfast Burritos (1201 Randall Avenue),32923453,Missing Item,1,100.0
2026-02-01,2026-02-28,2455971,Carmen's Breakfast Burritos (N Citrus Ave),NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,27741795,Casa De Quesadilla (415 E Windmill Ln),27741795,Missing Item,1,100.0
2026-02-01,2026-02-28,24387639,Casa Pasta Ristorante (1 Kedron Ave Unit 4),24387639,Missing Item,8,88.89
2026-02-01,2026-02-28,24387639,Casa Pasta Ristorante (1 Kedron Ave Unit 4),24387639,Ingredient Error,1,11.11
2026-02-01,2026-02-28,34248810,Celebrity Vegan Burger,34248810,Missing Item,1,100.0
2026-02-01,2026-02-28,34248823,Celebrity Vegan Burger,34248823,Missing Item,2,100.0
2026-02-01,2026-02-28,33955797,Charlie's Calzone Co,33955797,Missing Item,1,100.0
2026-02-01,2026-02-28,1767132,Charlie's Calzone Co.,NULL,Missing Item,3,100.0
2026-02-01,2026-02-28,36019239,Charlie's Chicken Wings,36019239,Missing Item,2,100.0
2026-02-01,2026-02-28,1591153,Charlie's Chicken Wings,NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,1332271,Charlie's Chicken Wings (New York),NULL,Missing Item,2,100.0
2026-02-01,2026-02-28,1465058,Charlie's Chicken Wings (Virtual Brand)(Bronxdale Ave),NULL,Ingredient Error,3,60.0
2026-02-01,2026-02-28,1465058,Charlie's Chicken Wings (Virtual Brand)(Bronxdale Ave),NULL,Missing Item,2,40.0
2026-02-01,2026-02-28,63275,Cheers on Demand (Fillmore St),NULL,NULL,1,100.0
2026-02-01,2026-02-28,1591183,Cheesecake And Dessert Bar,NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,35670053,Cheesy Mac Factory,35670053,Missing Item,2,100.0
2026-02-01,2026-02-28,23085625,Chef Hanoka Sushi (W Peoria Ave),23085625,Ingredient Error,1,100.0
2026-02-01,2026-02-28,32863708,Chef's Chicken Bowls (9737 Manchester Rd),32863708,Missing Side Item,1,50.0
2026-02-01,2026-02-28,32863708,Chef's Chicken Bowls (9737 Manchester Rd),32863708,Ingredient Error,1,50.0
2026-02-01,2026-02-28,39846441,Cherry's Chic Desserts,39846441,Missing Item,2,100.0
2026-02-01,2026-02-28,23784850,Cherry's Chic Desserts (4249 Washington St),23784850,Missing Item,1,100.0
2026-02-01,2026-02-28,23280271,Chicken Salad Bar (Sullivan St),23280271,Ingredient Error,1,100.0
2026-02-01,2026-02-28,26174821,Chicken Sandwich Loft,26174821,Missing Item,2,100.0
2026-02-01,2026-02-28,23785266,Chicken Tenders Bar (4249 Washington St),23785266,Missing Item,2,100.0
2026-02-01,2026-02-28,22981379,Chief's Cheesesteaks (Lee Hwy),22981379,Missing Side Item,1,100.0
2026-02-01,2026-02-28,34338815,Chop & Dice Salads (3349 Mission St),34338815,Missing Item,1,100.0
2026-02-01,2026-02-28,36019345,Chris's Chicken Tenders,36019345,Missing Item,1,100.0
2026-02-01,2026-02-28,1758531,Classic Cheeseburger Bar,NULL,Missing Side Item,1,100.0
2026-02-01,2026-02-28,33963911,Classic Cheeseburger Bar (560 E 149th St),33963911,Missing Item,1,100.0
2026-02-01,2026-02-28,943687,Curry Curry Curry (S Abbott Ave),NULL,Ingredient Error,1,50.0
2026-02-01,2026-02-28,943687,Curry Curry Curry (S Abbott Ave),NULL,Missing Side Item,1,50.0
2026-02-01,2026-02-28,23087632,DTLA Ramen Izakaya (W Camelback Rd),23087632,Missing Item,2,100.0
2026-02-01,2026-02-28,2110247,Dangerous Ice Cream (867 FIllmore Street),NULL,Missing Item,1,100.0
2026-02-01,2026-02-28,1458742,Danny's Desserts (1147 West Chester Pike),NULL,Missing Item,5,100.0
2026-02-01,2026-02-28,36019835,Danny's Desserts (4352 E Speedway Blvd),36019835,Missing Item,2,66.67
2026-02-01,2026-02-28,36019835,Danny's Desserts (4352 E Speedway Blvd),36019835,Ingredient Error,1,33.33
2026-02-01,2026-02-28,23532713,Danny's Desserts (Van Nuys Blvd),23532713,Incorrect Size,1,100.0
2026-02-01,2026-02-28,36587123,Daybreak Breakfast Club,36587123,Ingredient Error,2,100.0
2026-02-01,2026-02-28,32863821,Daybreak Breakfast Club (168 Myrtle Ave),32863821,Ingredient Error,3,75.0
2026-02-01,2026-02-28,32863821,Daybreak Breakfast Club (168 Myrtle Ave),32863821,Missing Item,1,25.0
2026-02-01,2026-02-28,26292279,Doughboys Sandwiches (101 Guyon Ave),26292279,Missing Side Item,1,100.0
