"week_start_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","adjusted_orders","adjusted_orders_rate","total_canceled_orders","total_canceled_orders_rate","avoidable_canceled_orders","avoidable_canceled_orders_rate","gross_subtotal_sales","adjusted_subtotal_sales","total_canceled_orders_subtotal_sales","avoidable_canceled_orders_subtotal_sales","subtotal_sales_after_adjustments_and_cancels","new_customer_orders","new_customer_orders_rate","gh_plus_customer_orders","gh_plus_customer_orders_rate","pick_up_orders","self_delivery_orders","grubhub_delivery_orders","avg_driver_time_at_store","avg_avoidable_driver_wait_time","avg_delivery_route_time","avg_order_to_delivery_time","ratings_all","ratings_5_stars","ratings_4_stars","ratings_3_stars","ratings_2_stars","ratings_1_star","reviews"
"2026-02-09","4839144","319 Rogers Ave","The Gyro Bar","319 Rogers Ave  ","Brooklyn","NY","11225","7","1","0.143","0",,"0",,"140.13","-19.78","0.00","0.00","120.35","3","0.429","6","0.857","0","0","7","00:04:45.000","00:01:40.200","00:13:10.200","00:32:30.000","1","1","0","0","0","0","0"
"2026-02-23","5851928","1st Avenue","Sarah's Breakfast Bar","1741 1st Ave.  ","New York","NY","10128","1","0",,"0",,"0",,"13.45","0.00","0.00","0.00","13.45","0",,"0",,"0","0","1","00:09:00.000","00:00:00.000","00:01:00.000","00:18:00.000","0","0","0","0","0","0","0"
"2026-02-16","7097584","Golden State Pizza & Grill - 3349 Mission St","Philly Cheesesteak Company","3349 Mission St  ","San Francisco","CA","94110","2","0",,"0",,"0",,"55.23","0.00","0.00","0.00","55.23","2","1.000","1","0.500","0","0","2","00:01:00.000","00:00:00.000","00:13:30.000","00:40:00.000","0","0","0","0","0","0","0"
"2026-02-23","3310236","Queens Plaza S","The Pasta Story","25-02 Queens Plaza S  ","Queens","NY","11101","6","0",,"0",,"0",,"165.06","0.00","0.00","0.00","165.06","2","0.333","4","0.667","0","0","6","00:08:07.800","00:00:15.000","00:13:00.000","00:30:45.000","0","0","0","0","0","0","0"
"2026-02-16","6893800","Dream Gourmet Deli inc. - 111 East 161 Street","Prime Burger Lounge","111 E 161 St  ","Bronx","NY","10452","2","0",,"0",,"0",,"64.73","0.00","0.00","0.00","64.73","1","0.500","2","1.000","0","0","2","00:01:00.000","00:00:30.000","00:06:00.000","00:31:30.000","0","0","0","0","0","0","0"
"2026-02-02","7749192","Sicilian Pizza - 2614 Lebanon Pike","Green Leaf Salads","2614 Lebanon Pike  ","Nashville","TN","37214","1","0",,"0",,"0",,"17.48","0.00","0.00","0.00","17.48","1","1.000","0",,"0","0","1","00:00:00.000","00:00:00.000","00:13:00.000","00:45:00.000","0","0","0","0","0","0","0"
"2026-02-09","2117009",,"Kelly's Pancake Bar","25-02 Queens Plaza S ","NY","NY","11101","1","0",,"0",,"0",,"20.97","0.00","0.00","0.00","20.97","0",,"1","1.000","0","0","1","00:15:00.000","00:01:00.000","00:08:00.000","00:28:00.000","0","0","0","0","0","0","0"
"2026-02-02","3312349","Gold St","Doughboys Sandwiches","257 Gold St  ","Brooklyn","NY","11201","4","0",,"0",,"0",,"113.98","0.00","0.00","0.00","113.98","2","0.500","2","0.500","0","0","4","00:07:00.000","00:02:00.000","00:14:19.800","00:32:40.200","0","0","0","0","0","0","0"
"2026-02-02","3310939","Crenshaw Blvd","Breakfast Burrito Floozy","6732 Crenshaw Blvd  ","Los Angeles","CA","90043","2","0",,"0",,"0",,"48.05","0.00","0.00","0.00","48.05","1","0.500","1","0.500","0","0","2","00:01:30.000","00:00:00.000","00:19:30.000","00:29:00.000","0","0","0","0","0","0","0"
"2026-02-09","2900807",,"The Omelette Farm (1st Avenue)","1741 1st Avenue  ","New York","NY","10128","6","0",,"0",,"0",,"124.55","0.00","0.00","0.00","124.55","2","0.333","6","1.000","0","0","6","00:07:15.000","00:04:00.000","00:11:07.800","00:27:30.000","0","0","0","0","0","0","0"
"2026-02-23","7746488","Havana Heights - 4083 Broadway","The Scorchin' Burger","4083 Broadway  ","New York","NY","10032","1","0",,"0",,"0",,"27.66","0.00","0.00","0.00","27.66","1","1.000","0",,"0","0","1","00:21:00.000","00:02:00.000","00:03:00.000","00:25:00.000","0","0","0","0","0","0","0"
"2026-02-23","10357744","1st Ave","Big Ease Smoothies","1219 1st Ave.  ","New York","NY","10065","2","0",,"0",,"0",,"36.31","0.00","0.00","0.00","36.31","2","1.000","0",,"0","0","2","00:02:30.000","00:00:00.000","00:07:00.000","00:18:30.000","0","0","0","0","0","0","0"
"2026-02-09","2344366",,"The Pancake Snob","217 1st Avenue  ","New York","NY","10003","3","0",,"1","0.333","1","0.333","58.73","0.00","-14.97","-14.97","43.76","1","0.333","2","0.667","0","0","3","00:13:00.000","00:05:00.000","00:13:00.000","00:37:30.000","0","0","0","0","0","0","0"
