"week_start_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2026-02-16","3310403","W Indian School Rd","Nakamura Ramen House","400 W Indian School Rd  ","Phoenix","AZ","85013","4","179.71","0.00","0.00","14.44","0.00","194.15","-26.96","-17.98","0.00","-6.49","0.00","-21.00","121.72"
"2026-02-09","8568648",,"GrillGrub Sandwiches","1561 St Nicholas Ave  ","New York","NY","10040","1","28.97","0.00","0.00","2.13","0.00","31.10","-4.35","-2.90","0.00","-1.10","0.00","-5.00","17.75"
"2026-02-02","3310118","W Indian School Rd","Fried Rice Fanatic","400 W Indian School Rd  ","Phoenix","AZ","85013","8","203.44","0.00","0.00","18.05","0.00","221.49","-30.52","-20.35","0.00","-8.99","0.00","-5.00","156.63"
"2026-02-09","1938468",,"Stella's Pancake Bar","937 1st Avenue ","New York","NY","10022","32","763.62","0.00","0.00","60.89","0.00","824.51","-114.55","-76.43","0.00","-32.36","0.00","-78.00","523.17"
"2026-02-02","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","10","165.07","0.00","0.00","9.77","0.00","174.84","-24.78","-16.52","0.00","-7.67","0.00","-21.00","104.87"
"2026-02-02","8570072",,"Carmen's Breakfast Burritos","4352 E Speedway Blvd  ","Tucson","AZ","85712","3","73.41","0.00","0.00","5.60","0.00","79.01","-10.56","-7.35","0.00","-3.04","0.00","-9.00","49.06"
"2026-02-16","2626167",,"Bosscat Wings","217 1st Avenue ","New York","NY","10003","1","20.97","0.00","0.00","1.42","0.00","22.39","-3.15","-2.10","0.00","-0.83","0.00","-5.00","11.31"
"2026-02-09","8568728",,"Evan's Burger Empire","1175 2nd Ave  ","New York","NY","10065","2","58.93","0.00","0.00","4.35","0.00","63.28","-8.84","-5.90","0.00","-2.22","0.00","-10.00","36.32"
"2026-02-23","8568896",,"Chop & Dice Salads","415 E Windmill Ln  ","Las Vegas","NV","89123","2","106.95","0.00","0.00","8.46","0.00","115.41","-16.04","-10.70","0.00","-3.94","-8.46","-6.00","70.27"
"2026-02-23","10936384","Michelson Dr","Doughboys Sandwiches","3161 Michelson Dr  ","Irvine","CA","92612","1","16.79","0.00","0.00","0.91","0.00","17.70","-2.52","-1.68","0.00","-0.69","0.00","-5.00","7.81"
"2026-02-16","3007005",,"Mia's Quesadillas","2909A Queens Plaza North  ","Long Island City","NY","11101","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2026-02-16","4511496","278 N. Brewster Rd","The Pasta Story","278 N Brewster Rd  ","Brewster","NY","10509","1","68.86","0.00","0.00","5.77","0.00","74.63","-10.33","-6.89","0.00","-2.58","0.00","0.00","54.83"
"2026-02-16","3310978","1st Ave","Bagel Dynasty","1219 1st Ave.  ","New York","NY","10065","1","7.88","0.00","0.00","0.70","0.00","8.58","-1.18","-0.79","0.00","-0.56","0.00","0.00","6.05"
"2026-01-26","3326295","1st Ave","Angelo's Wraps Shop","147 1st Ave.  ","New York","NY","10003","1","14.09","0.00","0.00","1.25","0.00","15.34","-2.11","-1.41","0.00","-0.77","0.00","0.00","11.05"
"2026-02-16","10362136","Polk St","Fried Chicken Savage","1428 Polk St  ","San Francisco","CA","94109","3","109.90","0.00","0.00","8.60","0.00","118.50","-16.49","-11.00","0.00","-4.21","0.00","-10.00","76.80"
"2026-02-02","3326032","30th St","NY Dessert Bar","34-02 30th St  ","Astoria","NY","11106","2","84.66","0.00","0.00","3.06","0.00","87.72","-12.70","-8.47","0.00","-3.03","0.00","-8.00","55.52"
"2026-02-16","3310297","W Peoria Ave #116","Kung Fu Chinese Kitchen","8520 W Peoria Ave  ","Peoria","AZ","85345","5","139.86","0.00","0.00","11.62","0.00","151.48","-20.98","-14.00","0.00","-5.68","0.00","-15.00","95.82"
"2026-02-23","5289640","3846 Mowry Ave","Halal Chicken Gyros Co.","3846 Mowry Ave  ","Fremont","CA","94538","1","16.79","0.00","0.00","1.48","0.00","18.27","-2.52","-1.68","0.00","-0.77","0.00","-3.00","10.30"
"2026-02-23","2900330",,"Cheesecake And Dessert Bar (Polk St)","1338 Polk St  ","San Francisco","CA","94109","1","48.94","0.00","0.00","3.62","0.00","52.56","-7.34","-4.89","0.00","-1.69","0.00","-7.00","31.64"
"2026-02-09","4833080","4663 Trousdale Dr","Amore Pasta Ristorante","4663 Trousdale Dr  ","Nashville","TN","37204","1","15.49","0.00","0.00","1.16","0.00","16.65","-2.32","-1.55","0.00","-0.72","0.00","-3.00","9.06"
"2026-02-23","6893968","Bears Ramen House - 2521 Durant Ave","Sung's Korean Kitchen","2521 Durant Ave  ","Berkeley","CA","94704","1","51.34","0.00","0.00","5.20","0.00","56.54","-7.70","-5.13","0.00","-1.93","0.00","-3.00","38.78"
"2026-02-02","2730695",,"Charlie's Chicken Wings","1760 3rd Ave  ","New York","NY","10029","3","104.87","0.00","0.00","9.31","0.00","114.18","-15.73","-10.49","0.00","-4.38","0.00","0.00","83.58"
"2026-02-16","8566128",,"TacoTaste Mexican","4352 E Speedway Blvd  ","Tucson","AZ","85712","1","15.96","0.00","0.00","1.13","0.00","17.09","-2.39","-1.60","0.00","-0.73","0.00","-3.00","9.37"
"2026-02-23","8566136",,"Luna's Loaded Fries","4352 E Speedway Blvd  ","Tucson","AZ","85712","6","146.87","0.00","0.00","10.94","0.00","157.81","-21.59","-14.70","0.00","-5.97","0.00","-21.00","94.55"
"2026-02-09","5930240","689 Broadway","Queen's Quesadillas","689 Broadway  ","New York","NY","10012","10","201.40","0.00","0.00","12.42","0.00","213.82","-31.07","-20.72","0.00","-8.85","0.00","-28.00","125.18"
"2026-02-09","8565936",,"Two Hand Burger","6600 W Sylvania Ave  ","Sylvania","OH","43560","1","42.74","0.00","0.00","2.92","0.00","45.66","-6.41","-4.27","0.00","-1.54","-2.92","-5.00","25.52"
"2026-02-02","3310235","Queens Plaza S","Slapjack Pancakes","25-02 Queens Plaza S  ","Queens","NY","11101","2","27.51","0.00","0.00","0.98","0.00","28.49","-4.13","-2.76","0.00","-1.38","0.00","-3.00","17.22"
"2026-02-02","11794944","Thomas S Boyland St","Big E's Wraps","116 Thomas S Boyland St  ","Brooklyn","NY","11233","1","16.09","0.00","0.00","1.43","0.00","17.52","-2.41","-1.61","0.00","-0.83","0.00","0.00","12.67"
"2026-02-16","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","1","26.97","0.00","0.00","1.32","0.00","28.29","-5.41","-3.61","0.00","-1.30","0.00","-5.00","12.97"
"2026-01-26","8566136",,"Luna's Loaded Fries","4352 E Speedway Blvd  ","Tucson","AZ","85712","1","15.39","0.00","0.00","1.34","0.00","16.73","-2.31","-1.54","0.00","-0.81","0.00","0.00","12.07"
"2026-02-09","3310775","Hoover Rd","Greek Gyro Spot","28501 Hoover Rd  ","Warren","MI","48093","1","25.87","0.00","0.00","1.25","0.00","27.12","-3.88","-2.59","0.00","-0.97","-1.25","-5.00","13.43"
"2026-02-09","7753968","382 Farmer Deli & Juice - 382 8th Ave","Big Belly Paninis","382 8th Ave  ","New York","NY","10001","1","22.58","0.00","0.00","2.01","0.00","24.59","-3.39","-2.26","0.00","-1.05","0.00","0.00","17.89"
"2026-02-09","7325448","Marina’s Pizza & Pasta - 12121 W Linebaugh Ave","Little Italy's Calzones","12121 W Linebaugh Ave  ","Tampa","FL","33626","2","31.47","0.00","0.00","1.91","0.00","33.38","-4.27","-3.15","0.00","-1.43","0.00","-6.00","18.53"
"2026-02-02","4830064","265 Bedford Ave","House of Paninis","265 Bedford Ave  ","Brooklyn","NY","11211","3","81.49","0.00","0.00","7.23","0.00","88.72","-8.97","-8.16","0.00","0.00","0.00","0.00","71.59"
"2026-02-02","8568880",,"Casa De Quesadilla","4352 E Speedway Blvd  ","Tucson","AZ","85712","3","64.44","0.00","0.00","5.08","0.00","69.52","-9.21","-6.45","0.00","-2.84","0.00","-6.00","45.02"
"2026-02-02","8570120",,"Manchester Pancake Co.","128 E 4th St  ","New York","NY","10003","7","157.38","0.00","0.00","13.07","0.00","170.45","-23.61","-15.76","0.00","-6.69","0.00","-9.99","114.40"
"2026-02-16","3310118","W Indian School Rd","Fried Rice Fanatic","400 W Indian School Rd  ","Phoenix","AZ","85013","5","148.28","0.00","0.00","12.59","0.00","160.87","-22.23","-14.84","0.00","-6.09","0.00","-10.00","107.71"
"2026-02-02","1938271",,"Maria's Italian Meatballs","937 1st Avenue ","New York","NY","10022","1","66.45","0.00","0.00","5.46","0.00","71.91","-9.97","-6.65","0.00","-2.34","0.00","-5.00","47.95"
"2026-02-23","10935104","Agnew Rd","Village Wraps Snob","2026 Agnew Rd  ","Santa Clara","CA","95054","1","27.98","0.00","0.00","2.28","0.00","30.26","-3.75","-2.80","0.00","-1.13","0.00","-3.00","19.58"
"2026-01-26","8570120",,"Manchester Pancake Co.","128 E 4th St  ","New York","NY","10003","2","44.86","0.00","0.00","3.99","0.00","48.85","-6.73","-4.49","0.00","-2.09","0.00","0.00","35.54"
"2026-02-16","3312414","3rd St","Celebrity Vegan Burger","5155 3rd St  ","San Francisco","CA","94124","1","26.87","0.00","0.00","2.06","0.00","28.93","-4.03","-2.69","0.00","-1.09","0.00","-3.00","18.12"
"2026-01-26","3309896","Washington Blvd","Martha's Mariscos Bar","109 Washington Blvd  ","Marina del Rey","CA","90292","1","23.27","0.00","0.00","2.13","0.00","25.40","-3.49","-2.33","0.00","-0.98","0.00","-3.00","15.60"
"2026-02-02","7749136","Havana Heights - 4083 Broadway","Seth's Sandwiches","4083 Broadway  ","New York","NY","10032","1","23.07","0.00","0.00","2.05","0.00","25.12","-3.46","-2.31","0.00","-1.07","0.00","0.00","18.28"
"2026-02-02","9832944","1708 Livernois Rd","The Pasta Brothers","1708 Livernois Rd  ","Troy","MI","48083","2","69.95","0.00","0.00","3.77","0.00","73.72","-10.49","-7.00","0.00","-2.63","-3.77","-7.00","42.83"
"2026-02-09","2796228",,"Healthy Salad Bar ","228 George St  ","New Brunswick","NJ","08901","3","61.06","0.00","0.00","3.66","0.00","64.72","-9.16","-6.11","0.00","-2.69","0.00","-6.00","40.76"
"2026-02-09","2964464",,"Day N Night Pancakes","240 Sullivan St  ","New York","NY","10012","3","44.00","0.00","0.00","3.37","0.00","47.37","-2.19","-6.60","0.00","-2.15","0.00","-6.00","30.43"
"2026-02-09","2457881",,"Chicken Tenders Bar","1929 Chestnut St ","Philadelphia","PA","19103","5","98.99","0.00","0.00","7.20","0.00","106.19","-14.85","-9.91","0.00","-4.46","-7.20","-9.00","60.77"
"2026-02-23","9814952","18300 Vanowen Street Suite 3","The Calzone Empire","18300 Vanowen St  ","Los Angeles","CA","91335","1","41.98","0.00","0.00","2.10","0.00","44.08","-6.30","-4.20","0.00","-1.43","0.00","-7.00","25.15"
"2026-01-26","6896760","Twin Donut Mexican Grill - 3 W Fordham Rd","Fiesta Mexican Spot","3 W Fordham Rd  ","Bronx","NY","10468","1","15.49","0.00","0.00","0.42","0.00","15.91","-2.32","-1.55","0.00","-0.63","0.00","-5.00","6.41"
"2026-02-09","2560752",,"The Pasta Twins","1147 West Chester Pike  ","West Chester","PA","19382","1","19.78","0.00","0.00","1.19","0.00","20.97","-2.97","-1.98","0.00","-0.94","-1.19","0.00","13.89"
"2026-02-09","10934896","E 8th St","Luca's Philly Cheesesteak","44 E 8th St  ","New York","NY","10003","2","68.54","0.00","0.00","5.37","0.00","73.91","-10.29","-6.86","0.00","-2.61","0.00","-8.00","46.15"
"2026-02-09","6154632","3955 Bronxwood Ave","Mac N' Cheez Hut","3955 Bronxwood Ave  ","Bronx","NY","10466","1","18.68","0.00","0.00","0.75","0.00","19.43","-2.80","-1.87","0.00","-0.89","0.00","0.00","13.87"
"2026-02-23","6893832","Aroma Pizza & Pasta - 20491 Alton Pkwy","Firenze Pasta Ristorante","20491 Alton Pkwy  ","Lake Forest","CA","92610","1","27.98","0.00","0.00","1.68","0.00","29.66","-4.20","-2.80","0.00","-1.20","0.00","0.00","21.46"
"2026-02-09","9837376","265 Bedford Ave","Mary's Chicken Sandwiches","265 Bedford Ave  ","Brooklyn","NY","11211","1","14.69","0.00","0.00","1.30","0.00","15.99","-2.20","-1.47","0.00","-0.79","0.00","0.00","11.53"
"2026-02-09","2711540",,"NY Smoothie Joint (4th Ave)","59 4th Ave  ","New York","NY","10003","1","12.99","0.00","0.00","1.15","0.00","14.14","-1.95","-1.30","0.00","-0.73","0.00","0.00","10.16"
"2026-02-02","9811888","Avenue A","Luke's Breakfast Wraps","93 Avenue A  ","New York","NY","10009","4","46.15","0.00","0.00","3.83","0.00","49.98","-6.47","-4.62","0.00","-2.32","0.00","-3.00","33.57"
"2026-02-09","3309683","Hillside Ave","Bird's Burger Bar","164-01 Hillside Avenue  ","Jamaica","NY","11432","2","78.51","0.00","0.00","2.74","0.00","81.25","-16.89","-11.26","0.00","-3.85","0.00","-10.00","39.25"
"2026-02-09","5321760","Yue Bai Wei - 5874 Forbes Ave","The Stir Fry Bar","5874 Forbes Ave  ","Pittsburgh","PA","15217","2","40.17","0.00","0.00","2.11","0.00","42.28","-6.56","-4.38","0.00","-1.70","-2.11","-10.00","17.53"
"2026-02-09","4836168","4955 Voltaire St","Breakfast Burrito Floozy","4955 Voltaire St  ","San Diego","CA","92107","1","20.98","0.00","0.00","1.39","0.00","22.37","-3.15","-2.10","0.00","-0.89","0.00","-3.00","13.23"
"2026-01-26","3344171","916 Hempstead Turnpike","Pedro's Burrito Bar","916 Hempstead Turnpike  ","Franklin Square","NY","11010","1","18.19","0.00","0.00","1.14","0.00","19.33","-2.73","-1.82","0.00","-0.74","0.00","-5.00","9.04"
"2026-02-16","3312535","Lexington Ave","The Acai Dream","1424 Lexington Ave  ","New York","NY","10128","1","17.99","0.00","0.00","1.60","0.00","19.59","-2.70","-1.80","0.00","-0.90","0.00","0.00","14.19"
"2026-02-23","2410420",,"The Wings Express","1147 West Chester Pike ","West Chester","PA","19382","1","24.96","0.00","0.00","1.32","0.00","26.28","-3.74","-2.50","0.00","-1.01","-1.32","-3.00","14.71"
"2026-02-16","2352422",,"The Pancake Snob (West Chester Pike)","1147 West Chester Pike ","West Chester","PA","19382","5","107.85","0.00","0.00","6.00","0.00","113.85","-16.18","-10.80","0.00","-4.72","-6.00","-8.00","68.15"
"2026-02-16","8565936",,"Two Hand Burger","6600 W Sylvania Ave  ","Sylvania","OH","43560","2","63.02","0.00","0.00","4.11","0.00","67.13","-9.45","-6.31","0.00","-2.34","-4.11","-10.00","34.92"
"2026-02-16","2535778",,"The Pasta Story","1424 Lexington Ave ","New York","NY","10128","13","339.35","0.00","0.00","26.31","0.00","365.66","-50.90","-33.97","0.00","-13.75","0.00","-43.00","224.04"
"2026-02-09","3310146","3rd Ave","Fried Munchies Shack","1760 3rd Ave  ","New York","NY","10029","1","41.90","0.00","0.00","3.10","0.00","45.00","-6.29","-4.19","0.00","-1.46","0.00","-7.00","26.06"
"2026-02-09","3310652","Loudon Rd #960","On Demand Pizza","800 Loudon Rd  ","Latham","NY","12110","2","49.05","0.00","0.00","3.68","0.00","52.73","-7.36","-4.91","0.00","-2.12","0.00","-3.00","35.34"
"2026-02-09","2668111",,"Mary's Omelette Bar","300 8th Ave  ","New York","NY","10001","2","39.61","0.00","0.00","2.89","0.00","42.50","-5.94","-3.96","0.00","-1.68","0.00","-7.00","23.92"
"2026-02-09","3310488","1st Avenue","Jewel's Breakfast Joint","937 1st Ave.  ","New York","NY","10022","2","41.62","0.00","0.00","3.16","0.00","44.78","-6.25","-4.17","0.00","-1.78","0.00","-6.00","26.58"
"2026-02-23","3309881","Sullivan St","The Village Smoothie Spot","240 Sullivan St  ","New York","NY","10012","2","45.95","0.00","0.00","4.08","0.00","50.03","-6.89","-4.60","0.00","-2.12","0.00","0.00","36.42"
"2026-02-09","9824096","257 Water Street","Lettuce N Greens","257 Water St  ","New York","NY","10038","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
