Store,External Store ID,City,Country,Country Code,Pause Start,Pause Duration,Reason For Pausing
Wonka's Smoothie Bar (169-03 Jamaica Ave),,New York City,United States,USA,2026-02-28 15:41:45.000,,Paused by Uber Eats as multiple couriers reported the store was closed.
Fresh N Fruity Smoothies (560 E 149th St),3802b83c-56ed-431a-bd20-f07f30348e30,New York City,United States,USA,2026-02-28 15:01:59.000,,Paused by Uber Eats
Lola's Smoothie Mix,,New York City,United States,USA,2026-02-27 02:00:54.000,03:59:33,Paused by Uber Eats
Lola's Smoothie Mix,,New York City,United States,USA,2026-02-26 03:41:19.000,02:19:09,Paused by Uber Eats
The Fried Chicken Crave (128-12 Liberty Ave),b7bd2df4-fd3b-5636-9aa4-3376955d309d,New York City,United States,USA,2026-02-24 00:21:08.000,05:39:14,Paused by Uber Eats
Flavor of Greek (783 Hillside Avenue),77bacaf3-53b2-55aa-9bfb-c46fb46f57c3,NYC Suburbs,United States,USA,2026-02-23 22:41:08.000,07:19:21,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
Fresh N Fruity Smoothies (560 E 149th St),3802b83c-56ed-431a-bd20-f07f30348e30,New York City,United States,USA,2026-02-23 19:21:22.000,10:39:08,Paused by Uber Eats
Finger Lickin Fried Chicken (854 N Broadway),,NYC Suburbs,United States,USA,2026-02-23 19:00:59.000,10:59:30,Paused by Uber Eats as multiple couriers reported the store was closed.
Burritos to Bowls (370 Main St),c1b72657-b084-4984-a90f-25910bf5b23c,New Jersey,United States,USA,2026-02-23 15:21:10.000,14:40:15,Paused by Uber Eats as multiple couriers reported the store was closed.
Penny's Pancakes - 1237 Fulton St,ba41eb75-89a7-43bc-9f80-ff46d2c9369e,New York City,United States,USA,2026-02-23 14:41:51.000,15:18:38,Paused by Uber Eats as multiple couriers reported the store was closed.
The Smooth Eaze (1424 Lexington Ave),,New York City,United States,USA,2026-02-20 23:41:23.000,06:19:06,Paused by Uber Eats due to multiple couriers canceling after arriving at your store. 
Fresh N Fruity Smoothies (560 E 149th St),3802b83c-56ed-431a-bd20-f07f30348e30,New York City,United States,USA,2026-02-20 20:22:09.000,09:38:21,Paused by Uber Eats
The Fried Chicken Crave (128-12 Liberty Ave),b7bd2df4-fd3b-5636-9aa4-3376955d309d,New York City,United States,USA,2026-02-19 00:21:00.000,05:39:22,Paused by Uber Eats
Breakfast N Vibe,5b6bccbb-7f52-5c00-991b-581a4078862b,New York City,United States,USA,2026-02-18 00:41:06.000,05:19:23,Paused by Uber Eats due to your store canceling an order with the reason ‘store is closed’.
Lola's Smoothie Mix,,New York City,United States,USA,2026-02-17 20:21:39.000,09:38:48,Paused by Uber Eats
Vegan Pizzas Snob (2017 University Ave),f0b0df98-95ba-5f70-b49c-2b04f1c14b00,San Francisco,United States,USA,2026-02-16 18:21:41.000,11:38:48,Paused by Uber Eats as multiple couriers reported the store was closed.
Family Sandwich House (2017 University Ave),,San Francisco,United States,USA,2026-02-16 11:05:17.000,18:55:12,Paused by Uber Eats
El Tarasco,3d6e9db2-4f0b-4af0-879d-09307a0993b6,Los Angeles,United States,USA,2026-02-16 09:05:45.000,20:54:26,Paused by Uber Eats
Tarasco Burrito Bar,d9557642-5319-42b7-a682-15b86572661f,Los Angeles,United States,USA,2026-02-16 09:05:34.000,20:54:55,Paused by Uber Eats
Wraps On Tap (675 E University Dr),,Los Angeles,United States,USA,2026-02-16 08:06:33.000,02:06:08,Paused by Uber Eats
High Life Pizzas,d62628f4-9b10-4099-aed0-69f904a3a91e,New Jersey,United States,USA,2026-02-16 10:05:53.000,19:54:36,Paused by Uber Eats
The Indian Spice Palace (3005 36th Ave),ae3c104a-e0ec-505c-90b8-d8eca6202b68,New York City,United States,USA,2026-02-16 10:05:33.000,19:54:56,Paused by Uber Eats
Burrito Lovers Bar (1541 Glenn School Rd suite 17),c6b3adde-0cab-5d3a-8395-8f954fae7546,Raleigh-Durham,United States,USA,2026-02-16 10:05:32.000,19:54:57,Paused by Uber Eats
Fierce Chicken Sandwich (11916 Wilshire Blvd),,Los Angeles,United States,USA,2026-02-16 05:05:19.000,24:55:10,Paused by Uber Eats
