Store Name,Shop ID,Store ID,Order Count,Count of Misc payment,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Price Adjustments (incl. tax),Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Marketing Adjustment,Bag Fee,Marketplace Fee,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Total Sales after Adjustments (incl tax),Capital payments,Container Deposit Fee,Other payments,Marketplace Facilitator Tax Adjustment,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Payout reference ID
Halal Gyro Lab,403b0e11-d8de-4f6f-bdb9-200a551a09d9,403b0e11-d8de-4f6f-bdb9-200a551a09d9,1,0,16.98,1.51,18.49,0,0,0,0,0,0,-3.7,-0.3,0,0,0,0,0,-3.4,0,0,0,0,14.79,0,0,0,0,0,0,11.39,2/2/26,GRK6K1M41JYM8CJ
Halal Gyro Lab,403b0e11-d8de-4f6f-bdb9-200a551a09d9,403b0e11-d8de-4f6f-bdb9-200a551a09d9,1,0,15.58,1.38,16.96,0,0,0,0,0,0,-3.39,-0.27,0,0,0,0,0,-3.12,0,0,0,0,13.57,0,0,0,0,0,0,10.45,2/17/26,HEV94B7OE83D9B1
Wonderland Wraps  (3846 Mowry Ave),86ba25df-0077-56d1-abbe-d1da568f820b,,5,10,104.03,10.66,114.69,0,0,0,0,0,0,-22.94,-2.14,0,0,0,0,0,-22.07,0,0,0,0,91.75,0,0,-18.5,0,-8.52,0,42.66,2/2/26,ZTX4JALF5FVP9AG
Wonderland Wraps  (3846 Mowry Ave),86ba25df-0077-56d1-abbe-d1da568f820b,,3,5,61.21,6.28,67.49,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.34,0,0,0,0,67.49,0,0,-6.24,0,-6.28,0,39.63,2/9/26,S24JUEF8GULRD8G
Wonderland Wraps  (3846 Mowry Ave),86ba25df-0077-56d1-abbe-d1da568f820b,,1,5,67.13,6.3,73.43,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.14,0,0,0,0,73.43,0,0,-5.29,0,-6.3,0,41.7,2/17/26,O7A8U847S2CVDMB
Bosscat Wings (226 1/2 Newark Ave),bb1a086d-fd4f-52fa-9e6d-0f92d6255657,3016fce9-6e51-4163-bba0-6b4712961367,1,0,18.99,1.26,20.25,0,0,0,0,0,0,-4.05,-0.25,0,0,0,0,0,-4.56,0,0,0,0,16.2,0,0,0,0,-1.01,0,10.63,2/17/26,1HLFZ9ITI777H36
NY Boba Bae (501 Broadway St),4f2b43e1-4d0d-5138-8e64-800a9618d0d8,,1,0,40.57,3.5,44.07,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.17,0,0,0,0,44.07,0,0,0,0,-3.5,0,28.4,2/9/26,Z4UZDUPITXZ5U0C
NY Boba Bae (501 Broadway St),4f2b43e1-4d0d-5138-8e64-800a9618d0d8,,1,0,18.18,1.57,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.45,0,0,0,0,19.75,0,0,0,0,-1.57,0,12.73,2/17/26,1QDXHEYMNUSED1F
The Farmers Salad (28501 Hoover Rd),c6068464-1818-595f-81b8-236c34e4a370,,6,0,204.6,12.27,216.87,-13.42,-0.81,-14.23,0,0,0,-41.06,-2.32,0,0,0,0,0,-49.76,0,0,0,0,175.81,0,0,0,0,-9.14,0,102.68,2/2/26,TFPX1QP7IC9YNLP
The Farmers Salad (28501 Hoover Rd),c6068464-1818-595f-81b8-236c34e4a370,,5,0,107.73,6.47,114.2,0,0,0,0,0,0,-16.97,-0.96,0,0,0,0,0,-27.51,0,0,0,0,97.23,0,0,0,0,-5.51,0,64.21,2/9/26,O0M95T44UI9AABJ
